Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
267,7.388830584,0.699116066,0.002177517,,5584.801675,640.8276546,4352.460618
268,7.925366911,0.543105452,0.001762439,,7075.385436,894.5243288,5793.125083
269,7.805729307,0.320876528,0.000892553,,4415.752992,977.2856258,2702.535606
270,7.458765976,0.253845481,0.000668158,,2970.159337,842.7917208,2233.500501
271,7.422155822,0.334058525,0.000965447,,3578.750202,796.7807578,3429.67634
272,7.084571164,0.236249998,1.46E-07,,1829.851243,716.4474122,1525.510894
273,7.356171851,0.397733594,0.001172669,,3275.595667,701.8833944,2834.443256
274,7.180214596,0.213821984,-0.000529591,,2154.652267,792.839595,1041.944467
275,7.300613919,0.337539854,0.000874727,,3157.889147,916.9367277,2834.443256
276,7.831056488,0.762155421,0.002531327,,7822.987317,860.9248753,7009.681351
277,7.271906607,0.340377874,0.001131393,,2952.613835,748.7812455,2702.535606
278,7.278619262,0.20403964,0.000261045,,2173.36531,813.2039352,1260.752805
279,7.082333612,0.199611568,0.000171858,,1979.260224,836.4558598,1935.962882
280,6.675956142,0.225949887,-0.000377095,,1161.572942,433.2809009,646.9655372
281,6.691238144,0.149328492,-0.000308241,,1296.363243,591.1380864,678.5431798
282,7.605539844,0.381942139,0.001241365,,4135.802373,934.9833952,3956.78238
283,7.107422755,0.190603454,0.00045953,,1980.959129,845.7005346,1935.962882
284,8.075473303,0.879099263,0.002986222,,16180.33268,877.1874256,14326.60921
285,7.432867505,0.434771142,0.001298404,,3640.001369,826.5133248,2030.455001
286,6.210640609,0.227984458,0.000179153,,1109.403442,323.8501016,678.5431798
287,8.380827695,0.781764188,0.002637261,,15400.89173,959.1673125,10763.79355
288,7.196496355,0.453324903,0.001189136,,3455.935273,694.8255055,2972.789166
289,8.011774491,0.52562296,0.00173415,,6019.214307,967.3668349,5021.389129
290,6.736084392,0.195288288,0.000187684,,1245.682653,549.3576212,1092.800577
291,7.223108938,0.21842459,0.000628308,,2264.097373,852.1640248,2233.500501
292,7.567644288,0.443536554,0.001251861,,3746.635038,748.1390778,2342.515087
293,8.180019334,0.540313122,0.001549146,,7239.246459,977.2856258,4352.460618
294,7.27790515,0.235971847,0.000617293,,2208.697022,812.5065176,1599.969324
295,7.6364371,0.667697061,0.002187141,,6683.46893,874.1939493,6683.46893
296,7.441770104,0.31417658,0.000788439,,3250.443307,834.2266736,1260.752805
297,7.051055496,0.234656711,-0.000115269,,1935.936708,667.5985097,1678.061984
298,7.002543472,0.257715033,-6.17E-05,,2140.174029,618.3970787,1202.080634
299,7.193687513,0.168333901,6.62E-05,,2077.394671,923.1273069,1599.969324
300,7.060291348,0.346949709,0.000616978,,2589.890681,650.7748462,2456.850551
301,6.980310777,0.197909012,0.000160352,,1960.827217,755.2026852,1599.969324
302,6.996021246,0.261068838,0.000643159,,2004.599337,668.6998669,1525.510894
303,7.082333612,0.329830324,0.000853581,,2413.306447,639.7549042,1845.868182
304,6.900282599,0.1282469,0.000214997,,1353.02174,706.1115172,1322.288698
305,7.338747512,0.336254029,0.001092177,,3429.67634,770.0974226,3429.67634
306,6.843391658,0.213230665,-0.000425353,,1660.761322,517.2129091,903.1409724
307,7.016349641,0.281745538,-0.000476398,,2171.237184,784.1197552,903.1409724
308,7.363646226,0.479592929,0.001588739,,5266.477348,739.9208687,5266.477348
309,7.393876977,0.269840334,0.000806062,,2841.479455,863.8495559,1678.061984
310,7.218443404,0.279479186,0.000753117,,2454.577579,752.6153168,2342.515087
311,7.264384625,0.19904462,0.000560941,,2229.641022,927.8541026,1935.962882
312,7.349316374,0.322172268,0.000285458,,3624.713503,820.2887497,2972.789166
313,7.400494417,0.211024983,0.000585009,,2834.443256,976.4606905,2834.443256
314,8.227245957,0.677805058,0.002133248,,10183.93111,915.3027644,5523.528042
315,7.394162622,0.32601438,0.000877046,,3057.087351,751.969861,2702.535606
316,7.577879897,0.258570246,0.000738544,,2827.080462,1000,2456.850551
317,7.231440247,0.27569258,1.66E-05,,2419.100975,776.6806651,1146.138914
318,7.479522838,0.627308413,0.002060948,,4453.621852,694.7597506,4352.460618
319,7.354791234,0.272666454,0.00082067,,2812.754434,1000,2342.515087
320,6.468720771,0.667080355,-0.002066069,,1965.429016,280.4939466,421.321929
321,7.804205868,0.360943337,0.001030969,,4787.70668,1000,4787.70668
322,7.382308359,0.625284664,0.002003732,,6112.151202,724.9580869,6075.880846
323,7.580783953,0.205551387,0.000243132,,3233.797031,912.1915491,1935.962882
324,6.903424693,0.209983979,-0.000429177,,1616.134068,609.5416402,903.1409724
325,8.051336309,0.393477943,0.001184862,,6576.200292,964.8931227,6075.880846
326,8.643002101,0.695411543,0.002285007,,15141.12314,1000,10763.79355
327,7.716465278,0.564800988,0.001821386,,5397.772641,766.1742916,3429.67634
328,6.651819149,0.157879998,-0.000423427,,1092.564208,431.1144233,441.886167
329,7.102709615,0.255909762,0.000572182,,2077.619373,649.6151782,1454.517567
330,7.001591322,0.242582849,0.000522207,,2229.701312,643.0307153,2129.55917
331,7.684520657,0.510363917,0.001641226,,5877.208312,977.2856258,4352.460618
332,7.533700153,0.331828863,0.001010396,,3572.517837,955.0871945,3270.068083
333,7.815774486,0.707647347,0.002344697,,10763.79355,894.5122349,10763.79355
334,7.454433695,0.283941556,0.000849769,,3584.848036,1000,3270.068083
335,6.922372471,0.348417055,0.000132939,,2077.647462,547.5199028,2030.455001
336,6.074864069,0.645447726,-0.002069846,,1588.767147,178.8229098,261.6077696
337,7.356505103,0.242147758,0.000187813,,2640.863551,958.3447142,1146.138914
338,7.742220926,0.57748839,0.001771169,,4568.261607,682.4461443,4564.899208
339,7.366502675,0.363731625,0.001117154,,4174.681512,864.6027333,3772.643973
340,6.87871641,0.263250192,-0.000534947,,1722.664203,516.3401097,616.8574362
341,8.097420352,0.513395206,0.001650769,,6159.114744,978.9508232,4352.460618
342,7.090141239,0.268045653,0.0004555,,2254.313931,703.0793337,782.8283
343,7.415871634,0.389304494,0.000970316,,2713.787259,619.3502746,2233.500501
344,7.06743247,0.297542808,0.000895013,,2086.494931,626.7837951,1935.962882
345,6.783120585,0.200424405,-0.000520512,,1353.871902,609.5498812,646.9655372
346,7.105137596,0.68505349,0.001927811,,4034.875894,553.5786848,3956.78238
347,7.251387782,0.292887593,0.000695463,,2897.834895,859.5650254,2576.766596
348,6.69509435,0.266106145,7.08E-06,,1384.469089,389.8729075,1322.288698
349,7.872570213,0.776421788,0.002594594,,8745.061227,828.5874593,7009.681351
350,7.08219079,0.343759864,-0.001026334,,2246.438657,706.2165375,821.0372476
351,7.541031705,0.320974434,0.000412151,,3749.800277,836.3540865,1322.288698
352,7.519560731,0.50368546,0.001637197,,5867.528475,973.1810639,5266.477348
353,7.527035105,0.252446059,0.000534747,,2856.029011,955.0871945,2129.55917
354,6.99330762,0.280407005,0.000466623,,2231.585012,676.163599,1759.966257
355,7.371739498,0.325175526,0.001060264,,3668.16818,805.6196107,3597.074891
356,7.03510699,0.357451959,0.001045797,,2450.56799,621.4794995,2030.455001
357,7.350363738,0.296271894,0.000490363,,3377.527193,912.3272197,2576.766596
358,7.005447528,0.312788666,-0.000282023,,2160.205389,577.6638929,1454.517567
359,6.906043105,0.440808621,-0.001142364,,1882.019469,397.6106844,616.8574362
360,7.354029514,0.464077332,0.00151522,,4135.802373,746.2461444,3956.78238
361,6.962934046,0.151227886,0.000223769,,1642.695742,719.4594278,903.1409724
362,7.476523567,0.593927153,0.001771788,,5792.96844,784.718538,4352.460618
363,7.279238159,0.185823544,0.000346573,,2407.16778,933.3929866,2342.515087
364,7.01920609,0.221039668,0.000416992,,2334.55262,678.9878975,2129.55917
365,7.158743621,0.371921491,0.000954564,,2922.567766,753.9894378,2576.766596
366,7.171883287,0.450187914,0.001431061,,4128.767365,717.5905487,3956.78238
367,6.792308829,0.157238318,-0.000102607,,1324.237349,576.2100842,821.0372476
368,6.966933075,0.232229084,-0.000417573,,1659.292157,683.710638,1260.752805
369,7.248816978,0.28624734,0.000660442,,2656.915709,853.7083591,2129.55917
370,7.719750194,0.558171409,0.001773405,,7822.881551,938.1723468,6372.437591
371,7.283998908,0.177008273,0.000367816,,2153.241031,959.977638,1935.962882
372,7.211064245,0.240296772,0.000693728,,2065.29049,804.972229,1599.969324
373,7.773975117,0.644279528,0.002160329,,5937.46963,756.4587928,4787.70668
374,7.360551739,0.216916341,0.000585166,,2656.915709,939.770899,2129.55917
375,7.025299848,0.282209444,0.000688359,,2937.572244,793.455764,2702.535606
376,7.000972425,0.175601007,0.000303732,,1845.868182,713.9445575,1845.868182
377,7.787971717,0.596176515,0.002007931,,8267.861149,920.7916201,6372.437591
378,7.643959082,0.510633898,0.001717282,,6029.388931,891.4716889,4564.899208
379,7.130940852,0.155983252,0.000101118,,1729.95323,769.5306042,1092.800577
380,6.69433263,0.182603354,0.000142649,,1244.681644,488.8971132,821.0372476
381,7.099472306,0.277037667,0.000557148,,1970.814177,642.4618688,1260.752805
382,6.583502411,0.178307514,-0.000461171,,1115.084049,460.6852349,646.9655372
383,7.574833018,0.548472873,0.001772162,,6270.160958,644.6182542,4149.908371
384,7.380832527,0.315431997,0.000853105,,3346.072015,871.2342464,3270.068083
385,7.693899331,0.430045195,0.001423206,,4639.234772,892.2368866,4149.908371
386,7.377309573,0.225272972,0.000487112,,2342.356739,896.0485091,1935.962882
387,7.517942076,0.298720898,0.000929829,,3590.95626,955.1130203,3429.67634
388,7.907180853,0.481286211,0.001501946,,5651.907585,978.9508232,5523.528042
389,7.396352566,0.256427566,0.00012863,,2972.347088,955.0871945,1322.288698
390,6.937987725,0.256848914,0.000444629,,2129.55917,606.3954399,2129.55917
391,7.236581855,0.15232346,-8.19E-05,,1922.590192,941.3721749,1202.080634
392,7.953979008,0.484307745,0.001581311,,7009.681351,956.7145679,7009.681351
