Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
1,83.47282516215843,45.28396483830069,0.015647279045131295,,7.995878883974228e+70,489.192115376586,5.494506367794499e+70
2,50.57886519784219,25.70620339369439,0.008805784050253625,,8.584384324551672e+45,585.6791700261267,3.621417834798473e+45
3,78.01426989513843,38.554915882574896,0.013314287235743277,,3.696823441733291e+61,822.702474791882,1.7021612207319555e+61
4,79.5068404335848,36.17703719081492,0.012493656724844895,,4.104828604623892e+59,903.9880766258024,1.3119146547063708e+59
5,65.59968318540767,37.50555381890171,0.01295714017987025,,3.9529862536684445e+58,233.33532658110798,1.727624236650345e+58
6,75.07948254929963,37.928177172197195,0.013071571703728453,,2.3854399821554563e+60,544.7962951210782,4.4277119596339755e+59
7,64.40266715532132,35.84957809390007,0.01235480763949059,,3.6026262015489095e+55,611.8547130649481,1.7534681596013862e+55
8,65.7032286194751,30.695857475625232,0.010604566826052852,,3.6998657526374375e+52,952.3809523809524,1.7796986876598243e+52
9,54.71403359766225,26.150012137587275,0.008987950578617343,,1.4618044063370327e+47,299.3145013873759,1.3921946727019358e+47
10,67.85562763851944,38.6398992484679,0.01334352863940883,,1.283973919516022e+57,227.91326261582782,5.917955038654739e+55
11,86.85512014356345,40.119858550241005,0.013811850796496232,,4.815940464316642e+64,488.3569586951743,3.773415369946349e+64
12,95.68482121643308,45.155015413957,0.015576847483284055,,1.484003832681395e+75,1000.0,9.249513665724425e+74
13,81.45332431573468,39.24846714740899,0.013546181667500875,,1.6150366121365483e+63,822.702474791882,1.4723278992626977e+63
14,74.83444394181981,31.145164178025407,0.010682220169235673,,1.7820431962763963e+54,952.3809523809524,1.539395915150758e+54
15,63.109687130545254,34.35794646519212,0.011868205406766953,,3.7941412479039425e+52,1000.0,1.7796986876598307e+52
16,66.04816383993148,34.581538344288255,0.011952972168376269,,3.9030643512946645e+54,863.837598531476,1.5393959151507483e+54
17,51.053090312284866,27.229694426285985,0.009322014788061043,,1.4130208286974904e+44,664.4312363199647,1.4130208286974904e+44
18,72.65844921305454,36.16220327152534,0.012475824445140735,,3.8871545324633154e+58,907.0294784580499,3.8871545324633154e+58
19,71.07559062383757,40.86699862506203,0.014108600025628786,,6.879775186215008e+59,822.702474791882,1.9678719820595425e+59
20,64.73973713920408,32.9630413635451,0.011339333550459008,,3.0407820546187775e+53,795.482025967942,3.0407820546187775e+53
21,62.59418979531924,31.543076934837654,0.010891522296399822,,2.7221796416582685e+51,907.0294784580499,1.0416160586211957e+51
22,66.36942226575381,32.392377598824346,0.011162148816897255,,1.88375719993793e+54,676.8393620286872,4.561173081928182e+53
23,63.34876599691,28.873294445881758,0.009893502661534777,,9.079718661668295e+51,125.63090081593803,1.5624240879318108e+51
24,59.02766989128212,29.441632347247985,0.010143107925599354,,4.981599638670729e+49,525.0044848074932,2.7094824062086867e+49
25,61.876020719724,30.8288672316146,0.010615197792646655,,2.5060329656016182e+48,573.9606835719379,1.5857967443745442e+48
26,77.59031742683655,42.206118928306765,0.014586051181409506,,2.1088709057622004e+67,952.3809523809524,1.6523555363687238e+67
27,89.53907131063362,40.68302657110577,0.013993140046414991,,3.201874503203456e+65,1000.0,8.490184582379219e+64
28,84.01516160363057,39.721611624266934,0.01367864687976139,,1.8595361127406e+65,623.2809823012249,5.660123054919537e+64
29,78.58113452283249,38.837970415147645,0.013417908068565245,,8.326350791642336e+60,339.56116997713394,3.362293769347044e+60
30,61.04514361487762,29.7054905392862,0.010231426444745752,,2.1466409758792198e+48,952.3809523809524,7.047985530553572e+47
31,71.32938640193547,38.856930513247185,0.013384916923006338,,2.4913156433435895e+57,721.5256471364554,1.5167071487739761e+57
32,62.94354414354123,34.24212894625872,0.01180036001587759,,3.16385472343341e+52,783.526166468459,7.909771945154734e+51
33,67.77219126290834,34.05026667368349,0.011749155870924293,,5.179767805575342e+52,520.5992594756807,4.0043220472346106e+52
34,71.11775477866533,36.91527879255832,0.012719690171755643,,5.7279959880312085e+54,339.00132049155684,5.195461213633749e+54
35,65.45871706393062,35.75363553426521,0.0123514093547297,,4.28407136839081e+55,248.7405903915124,6.841759622892241e+53
36,67.93172582949224,34.79275865609715,0.012017812830612795,,5.649338339241833e+56,456.5754073937502,2.9959647383189766e+56
