Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
1,7.65705778,0.601391453,0.001880037,,7122.921013,741.2040553,3111.40461
2,6.780889674,0.616396753,-0.001649235,,3468.231299,322.0360398,382.2235285
3,7.666960137,0.56681927,0.001703622,,6845.862016,580.1044073,6063.247368
4,7.842631747,0.472591203,0.000833918,,6706.443718,698.6962127,2828.549645
5,7.260868312,0.429342505,0.001050108,,3421.804677,545.0061312,2828.549645
6,6.7244272,0.591676787,0.001709655,,2630.356358,198.0872209,1931.937467
7,6.302053616,0.773024677,-0.002308666,,1739.803208,135.7895591,237.330739
8,6.920189168,0.339518461,-4.09E-05,,2647.567545,441.7863236,1090.528335
9,7.46986516,0.700587158,0.002177058,,6729.926232,551.2474748,3111.40461
10,7.121759248,0.772374335,-0.002159641,,5072.168439,211.391777,237.330739
11,6.886578285,0.278450036,0.000266746,,2413.045756,478.406996,1596.642535
12,6.57484449,0.354762991,0.000858714,,1589.409735,213.9744113,1451.493213
13,7.125186987,0.896172073,0.002195211,,6251.380907,264.2818922,3764.799578
14,7.095575133,0.643266015,0.00079553,,3626.192095,413.236148,1931.937467
15,8.085144262,0.356917391,-5.86E-05,,7251.371439,919.4685516,2828.549645
16,7.348846939,0.499052066,0.001221445,,4377.42732,506.2340885,1756.306788
17,9.235531468,1.562064383,0.005110992,,177895.9062,954.5454545,116380.0466
18,8.069433793,0.692809845,0.002058631,,13849.58218,954.5454545,8070.182247
19,6.460205672,1.102545116,-0.003422076,,3444.815561,108.3484859,347.475935
20,8.311279804,1.028196431,0.00343615,,27265.54896,643.9124793,20931.97436
21,7.804450546,0.71313335,0.002363966,,9687.46591,656.446402,8877.200472
22,8.500662369,0.93230201,0.00292675,,23417.60177,871.71748,15726.50215
23,7.372174606,0.790605322,0.002439324,,6669.572105,396.2334031,6669.572105
24,7.26600992,0.647741961,0.001584111,,5102.048471,382.9679144,2337.644335
25,6.980555455,0.497122875,-0.001091041,,3402.255642,260.4718315,261.0638129
26,8.698233421,0.648015333,0.001812865,,13039.79691,1000,10741.41257
27,6.744136698,0.363762222,-0.00058297,,1991.595333,344.6949229,744.845526
28,7.025116059,0.410127373,-0.000182671,,2805.10214,372.2867912,1090.528335
29,6.727188434,0.35430947,-1.17E-05,,1894.434936,366.8402859,1090.528335
30,7.389027654,1.184220343,0.003491553,,17675.32902,369.3205231,17299.15236
31,7.072913971,0.413762875,0.000576457,,4039.145553,441.850049,2828.549645
32,7.390265449,0.799319682,0.001751306,,9049.671147,445.3827916,5010.948238
33,8.157412421,0.535705497,0.001605405,,9697.94359,954.5454545,6063.247368
34,7.578124575,0.381139917,-2.58E-05,,5084.612733,741.4713716,744.845526
35,7.115760705,0.870592199,0.002668693,,7747.059807,318.6423073,6063.247368
36,7.875385695,0.480963624,-4.18E-05,,7049.382072,691.6073671,2125.131214
37,7.98459726,0.455526747,0.000596925,,7452.970596,954.5454545,1596.642535
38,6.573701911,1.066533696,-0.003215851,,4347.08933,105.5621769,110.7165413
39,7.305048055,0.563461646,0.001647677,,6654.448359,456.5953619,6063.247368
40,6.166230217,0.503870551,-0.001890993,783,1120.159816,99.84584103,99.84584103
41,7.183077686,0.410697057,-0.000732642,,3174.369275,574.94348,1756.306788
42,8.296902344,0.659419391,0.001234049,,24121.60854,976.6741746,23025.17179
43,8.164648758,0.440896999,0.001017162,,8070.182247,1000,8070.182247
44,9.679518849,1.40878817,0.00470787,,226277.5199,954.5454545,206174.3518
45,7.581457098,0.29706556,0.000581053,,4323.189302,816.2062919,1756.306788
46,7.387694645,0.551273744,-0.000803366,,5485.886466,552.6597122,677.1322963
47,6.68357998,0.408622732,-8.14E-05,,1576.745801,224.7136426,1319.539285
48,6.667107791,0.63601922,0.000748438,,2669.409456,215.7085433,1931.937467
49,7.517091782,0.347783846,1.34E-05,,5218.632683,796.0766681,1756.306788
50,7.293336615,0.80358367,0.00240885,,6055.8231,384.6829125,4141.279536
51,7.57783893,0.749673374,0.00235443,,8887.122244,570.9382165,6669.572105
52,8.121992454,0.96806082,0.002697615,,23021.851,759.0977482,6063.247368
53,6.514192558,0.293945007,-0.000693229,,1689.208501,315.8872136,315.8872136
54,8.698233421,1.044593064,0.003336535,,33711.15402,654.9578614,33711.15402
55,8.751934661,1.107882451,0.003511031,,46735.95578,1000,25327.68897
56,6.334521919,0.402960482,1.15E-05,,1610.974649,257.7361784,508.7395164
57,6.693291906,0.243848563,0.000339,,1481.400771,417.592186,462.4904695
58,6.788411656,0.390504612,-0.00024041,,1751.692483,356.9560501,462.4904695
59,5.745426931,0.402646476,-0.000615513,,1215.50625,173.4868973,237.330739
60,5.972990697,0.445933392,-0.001312767,,1243.415641,129.7762136,196.1411066
61,6.172275619,0.477452882,-0.001063069,,1176.167807,173.1059864,508.7395164
62,7.207738361,0.464725075,0.001241255,,5499.544098,593.4456556,5010.948238
63,6.550755104,0.30842621,-0.000574017,,1890.07101,331.6456963,508.7395164
64,7.132613754,0.420369839,0.000495928,,2844.186808,429.4492465,819.3300786
65,7.320377665,0.646675703,-0.001538929,,4288.124903,321.3057994,420.4458813
66,5.727431303,0.556943438,-0.000950358,,1186.896748,111.9521542,508.7395164
67,7.728945079,0.435824675,0.000274703,,4947.790072,765.9669568,1451.493213
68,7.907282708,1.086597675,0.003572162,,21050.72929,557.4999821,14296.82013
69,7.047586791,0.280833892,0.000538027,,2542.386394,516.683512,2125.131214
70,7.109095658,0.802906636,0.002246738,,7336.529316,268.7958782,7336.529316
71,5.913481344,0.703084565,-0.002040314,,1753.587062,140.9748926,287.1701942
72,8.035632481,0.569945243,0.001562683,,10229.91673,915.303354,9764.920519
73,8.073051962,0.525972322,0.000876977,,6946.751531,835.8805015,5512.043062
74,6.54856516,0.280969505,0.000164135,,1453.010711,352.1142566,615.5748149
75,7.654772621,0.379940261,0.000103375,,4029.114692,794.2715056,2571.408768
76,7.232113392,0.672527388,0.002045235,,5449.831024,398.4813837,4141.279536
77,6.450493746,0.301598878,-0.000730873,,1192.297864,290.0822531,462.4904695
78,9.397682553,1.175776422,0.003613392,,94549.59197,1000,27860.45787
79,8.342605527,1.036286533,0.003332408,,19888.57474,474.5267463,11815.55383
80,6.151518756,0.46004353,-0.001181046,,1479.213423,187.1985993,287.1701942
81,8.29547412,1.267855395,0.004259137,,55980.7923,785.363544,49356.5006
82,6.728711873,0.588837977,0.001042463,,5774.521303,321.9431557,5512.043062
83,8.723846247,0.797611692,0.002275089,,25410.87522,1000,4555.407489
84,7.169081086,0.303519029,-0.000397815,,2599.918563,616.1295086,1199.581168
85,7.760175587,0.513587222,0.001409123,,5485.688656,680.7038704,2571.408768
86,6.816976146,0.460324224,0.001207783,,2471.032703,294.3148286,677.1322963
87,8.666145978,0.878327141,0.002647222,,23366.18568,799.6993103,15726.50215
88,7.059298231,0.589560332,-0.001075645,,2935.821045,307.3758701,819.3300786
89,7.420258163,0.850869896,0.002427819,,6783.734298,319.0329538,5512.043062
90,7.851201094,0.409995826,-6.25E-05,,5486.084284,869.7407964,1451.493213
91,9.590207212,1.241404084,0.003978559,,68045.00292,954.5454545,59721.36572
