Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
726,7.261615223,0.961864811,-0.002701681,911,8954.302433,92.29599818,92.29599818
727,6.533941327,0.863511482,-0.001011689,,5054.470285,111.6781578,564.4739301
728,10.42823339,1.459530105,0.004165727,,1692892.739,826.446281,652683.4354
729,9.402768218,1.153662046,-7.77E-05,,207965.0567,564.4739301,11918.17654
730,5.681154704,0.543572807,-0.019481276,91,1000,92.29599818,92.29599818
731,6.153305597,0.812125834,-0.015049296,177,1771.561,92.29599818,92.29599818
732,5.418639151,0.560252292,-0.007223375,225,1000,92.29599818,92.29599818
733,8.545071814,1.529647966,0.004641033,,129129.9382,350.4938995,45259.25557
734,6.321802385,0.586388208,-0.000348596,,2357.947691,122.8459736,385.5432894
735,7.211300587,0.775900597,0.000922356,,9849.732676,289.6643797,1771.561
736,6.051251636,0.756743369,-0.007708801,295,1948.7171,92.29599818,92.29599818
737,9.61243157,1.949904445,0.006322639,,1271895.371,513.1581182,789746.9568
738,7.141412803,0.934893684,0.002454001,,8140.274939,179.8587899,3797.498336
739,8.560687069,1.220697693,0.003657244,,72890.48369,350.4938995,54763.69924
740,6.003752664,0.616329283,-0.001856854,659,1948.7171,92.29599818,92.29599818
741,6.845484692,0.639982299,-0.000988443,,5559.917313,197.8446689,1210
742,6.760224252,1.152047354,-0.010295101,333,6727.499949,92.29599818,92.29599818
743,8.981537213,1.392481539,0.004197867,,60240.06916,385.5432894,17449.40227
744,8.798153191,0.660496431,-0.000479854,,34003.94859,1000,25547.66986
745,7.587399698,0.818215317,-0.000572394,,11918.17654,466.5073802,1771.561
746,6.084140543,0.521751427,-0.005902281,197,1000,92.29599818,92.29599818
747,5.917482511,1.059735627,-0.017019154,199,2593.74246,92.29599818,92.29599818
748,7.815725184,0.969506825,0.002901678,,15863.09297,318.6308177,14420.99361
749,5.815500618,0.752940769,-0.024133807,99,1000,92.29599818,92.29599818
750,6.084507297,0.494987675,-0.00167183,377,1100,92.29599818,92.29599818
751,10.72149548,1.925651554,0.005994107,,539407.7978,620.9213231,171871.9477
